Date, Event Key, Event

Ø'@, [101], Job created with PID 4735 and priority 4
2017-01-10 20:04:10, [102], Job destroyed with PID 9522 and priority 7
2017-01-10 20:04:10, [102], Job destroyed with PID 9536 and priority 7
2017-01-10 20:04:10, [102], Job destroyed with PID 9539 and priority 7
2017-01-10 20:04:10, [101], Job created with PID 9561 and priority 2
2017-01-10 20:04:11, [101], Job created with PID 9563 and priority 9
2017-01-10 20:04:12, [101], Job created with PID 9564 and priority 8
2017-01-10 20:04:13, [101], Job created with PID 9565 and priority 10
2017-01-10 20:04:14, [101], Job created with PID 9566 and priority 3
2017-01-10 20:04:17, [102], Job destroyed with PID 9565 and priority 10
2017-01-10 20:04:17, [102], Job destroyed with PID 9563 and priority 9
2017-01-10 20:04:17, [102], Job destroyed with PID 9564 and priority 8
2017-01-10 20:04:17, [102], Job destroyed with PID 9551 and priority 7
2017-01-10 20:04:17, [102], Job destroyed with PID 9518 and priority 6
2017-01-10 20:04:17, [102], Job destroyed with PID 9521 and priority 6
2017-01-10 20:04:17, [102], Job destroyed with PID 9513 and priority 4
2017-01-10 20:04:17, [102], Job destroyed with PID 9519 and priority 4
2017-01-10 20:04:45, [101], Job created with PID 9577 and priority 1
2017-01-10 20:04:46, [101], Job created with PID 9578 and priority 3
2017-01-10 20:04:47, [101], Job created with PID 9581 and priority 4
2017-01-10 20:04:49, [102], Job destroyed with PID 9534 and priority 4
2017-01-10 20:04:49, [102], Job destroyed with PID 9581 and priority 4
2017-01-10 20:04:49, [102], Job destroyed with PID 9524 and priority 3
2017-01-10 20:04:49, [102], Job destroyed with PID 9529 and priority 3
2017-01-10 20:04:49, [102], Job destroyed with PID 9550 and priority 3
2017-01-10 20:04:49, [102], Job destroyed with PID 9566 and priority 3
2017-01-10 20:04:49, [102], Job destroyed with PID 9578 and priority 3
2017-01-10 20:04:49, [102], Job destroyed with PID 9526 and priority 2
è'@, [101], Job created with PID 9619 and priority 4
2017-01-10 20:06:17, [101], Job created with PID 9620 and priority 7
2017-01-10 20:06:18, [101], Job created with PID 9622 and priority 8
2017-01-10 20:06:19, [101], Job created with PID 9623 and priority 6
2017-01-10 20:06:20, [101], Job created with PID 9624 and priority 4
2017-01-10 20:06:23, [101], Job created with PID 9626 and priority 6
2017-01-10 20:06:24, [101], Job created with PID 9627 and priority 7
2017-01-10 20:06:25, [101], Job created with PID 9629 and priority 3
2017-01-10 20:06:26, [101], Job created with PID 9630 and priority 10
2017-01-10 20:06:27, [101], Job created with PID 9631 and priority 2
2017-01-10 20:06:30, [101], Job created with PID 9633 and priority 3
2017-01-10 20:06:31, [101], Job created with PID 9634 and priority 8
2017-01-10 20:06:32, [101], Job created with PID 9636 and priority 1
2017-01-10 20:06:33, [101], Job created with PID 9637 and priority 10
ø'@, [101], Job created with PID 9661 and priority 4
2017-01-10 20:06:59, [101], Job created with PID 9662 and priority 7
2017-01-10 20:07:00, [101], Job created with PID 9664 and priority 8
2017-01-10 20:07:01, [101], Job created with PID 9665 and priority 6
2017-01-10 20:07:02, [101], Job created with PID 9666 and priority 4
2017-01-10 20:07:05, [101], Job created with PID 9668 and priority 6
2017-01-10 20:07:06, [101], Job created with PID 9669 and priority 7
2017-01-10 20:07:07, [101], Job created with PID 9671 and priority 3
2017-01-10 20:07:08, [101], Job created with PID 9672 and priority 10
2017-01-10 20:07:09, [101], Job created with PID 9673 and priority 2
2017-01-10 20:07:12, [101], Job created with PID 9675 and priority 3
2017-01-10 20:07:13, [101], Job created with PID 9676 and priority 8
2017-01-10 20:07:14, [101], Job created with PID 9678 and priority 1
2017-01-10 20:07:15, [101], Job created with PID 9679 and priority 10
ø'@, [101], Job created with PID 9712 and priority 4
2017-01-10 20:09:01, [101], Job created with PID 9724 and priority 7
2017-01-10 20:09:04, [101], Job created with PID 9727 and priority 8
ø'@, [101], Job created with PID 9764 and priority 4
2017-01-10 20:11:59, [101], Job created with PID 9765 and priority 7
2017-01-10 20:12:02, [101], Job created with PID 9767 and priority 8
ø'@, [101], Job created with PID 9783 and priority 4
2017-01-10 20:12:16, [101], Job created with PID 9784 and priority 7
2017-01-10 20:12:17, [101], Job created with PID 9786 and priority 8
2017-01-10 20:12:18, [101], Job created with PID 9787 and priority 6
2017-01-10 20:12:21, [101], Job created with PID 9788 and priority 4
2017-01-10 20:12:22, [101], Job created with PID 9789 and priority 6
(@, [101], Job created with PID 9857 and priority 4
2017-01-10 20:15:53, [101], Job created with PID 9858 and priority 7
2017-01-10 20:15:56, [101], Job created with PID 9860 and priority 8
(@, [101], Job created with PID 9889 and priority 4
2017-01-10 20:16:21, [101], Job created with PID 9890 and priority 7
2017-01-10 20:16:24, [101], Job created with PID 9892 and priority 8
2017-01-10 20:16:25, [101], Job created with PID 9893 and priority 6
2017-01-10 20:16:28, [101], Job created with PID 9905 and priority 4
2017-01-10 20:16:29, [101], Job created with PID 9906 and priority 6
2017-01-10 20:16:32, [101], Job created with PID 9908 and priority 7
2017-01-10 20:16:33, [101], Job created with PID 9909 and priority 3
2017-01-10 20:16:36, [101], Job created with PID 9911 and priority 10
2017-01-10 20:16:37, [101], Job created with PID 9912 and priority 2
(@, [101], Job created with PID 10035 and priority 4
2017-01-10 20:20:34, [101], Job created with PID 10036 and priority 7
2017-01-10 20:20:37, [101], Job created with PID 10039 and priority 8
2017-01-10 20:20:38, [101], Job created with PID 10040 and priority 6
2017-01-10 20:20:41, [101], Job created with PID 10042 and priority 4
2017-01-10 20:20:42, [101], Job created with PID 10043 and priority 6
2017-01-10 20:20:45, [101], Job created with PID 10045 and priority 7
2017-01-10 20:20:46, [101], Job created with PID 10046 and priority 3
2017-01-10 20:20:49, [101], Job created with PID 10048 and priority 10
2017-01-10 20:20:50, [101], Job created with PID 10049 and priority 2
(@, [101], Job created with PID 10074 and priority 4
2017-01-10 20:21:56, [101], Job created with PID 10075 and priority 7
2017-01-10 20:21:59, [101], Job created with PID 10088 and priority 8
2017-01-10 20:22:00, [101], Job created with PID 10089 and priority 6
2017-01-10 20:22:02, [102], Job destroyed with PID 10088 and priority 8
2017-01-10 20:22:02, [102], Job destroyed with PID 10075 and priority 7
2017-01-10 20:22:03, [101], Job created with PID 10093 and priority 4
2017-01-10 20:22:04, [101], Job created with PID 10095 and priority 6
2017-01-10 20:22:06, [102], Job destroyed with PID 10089 and priority 6
2017-01-10 20:22:06, [102], Job destroyed with PID 10095 and priority 6
2017-01-10 20:22:07, [101], Job created with PID 10098 and priority 7
2017-01-10 20:22:08, [101], Job created with PID 10100 and priority 3
2017-01-10 20:22:10, [102], Job destroyed with PID 10098 and priority 7
2017-01-10 20:22:10, [102], Job destroyed with PID 10074 and priority 4
2017-01-10 20:22:11, [101], Job created with PID 10103 and priority 10
2017-01-10 20:22:12, [101], Job created with PID 10105 and priority 2
2017-01-10 20:22:14, [102], Job destroyed with PID 10103 and priority 10
2017-01-10 20:22:14, [102], Job destroyed with PID 10093 and priority 4
